,Interpolation_w1,Interpolation_w2,Metric_Month,Value,Metric,Month,Interpolation
30,0.2,0.8,NDCG5_Dec,50.98,NDCG5,Dec,0.2:0.8
31,0.1,0.9,NDCG5_Dec,51.13,NDCG5,Dec,0.1:0.9
32,0.0,1.0,NDCG5_Dec,49.98,NDCG5,Dec,0.0:1.0
33,1.0,0.0,NDCG10_Jan,32.18,NDCG10,Jan,1.0:0.0
34,0.9,0.1,NDCG10_Jan,30.19,NDCG10,Jan,0.9:0.1
35,0.8,0.2,NDCG10_Jan,25.73,NDCG10,Jan,0.8:0.2
36,0.7,0.3,NDCG10_Jan,21.54,NDCG10,Jan,0.7:0.3
37,0.6,0.4,NDCG10_Jan,18.33,NDCG10,Jan,0.6:0.4
38,0.5,0.5,NDCG10_Jan,16.09,NDCG10,Jan,0.5:0.5
39,0.4,0.6,NDCG10_Jan,14.78,NDCG10,Jan,0.4:0.6
40,0.3,0.7,NDCG10_Jan,13.65,NDCG10,Jan,0.3:0.7
41,0.2,0.8,NDCG10_Jan,12.53,NDCG10,Jan,0.2:0.8
42,0.1,0.9,NDCG10_Jan,11.21,NDCG10,Jan,0.1:0.9
43,0.0,1.0,NDCG10_Jan,9.33,NDCG10,Jan,0.0:1.0
44,1.0,0.0,NDCG10_Jun,28.64,NDCG10,Jun,1.0:0.0
45,0.9,0.1,NDCG10_Jun,28.89,NDCG10,Jun,0.9:0.1
46,0.8,0.2,NDCG10_Jun,29.67,NDCG10,Jun,0.8:0.2
47,0.7,0.3,NDCG10_Jun,29.64,NDCG10,Jun,0.7:0.3
48,0.6,0.4,NDCG10_Jun,30.51,NDCG10,Jun,0.6:0.4
49,0.5,0.5,NDCG10_Jun,31.72,NDCG10,Jun,0.5:0.5
50,0.4,0.6,NDCG10_Jun,31.49,NDCG10,Jun,0.4:0.6
51,0.3,0.7,NDCG10_Jun,31.94,NDCG10,Jun,0.3:0.7
52,0.2,0.8,NDCG10_Jun,30.9,NDCG10,Jun,0.2:0.8
53,0.1,0.9,NDCG10_Jun,29.99,NDCG10,Jun,0.1:0.9
54,0.0,1.0,NDCG10_Jun,27.84,NDCG10,Jun,0.0:1.0
55,1.0,0.0,NDCG10_Dec,28.78,NDCG10,Dec,1.0:0.0
56,0.9,0.1,NDCG10_Dec,33.77,NDCG10,Dec,0.9:0.1
57,0.8,0.2,NDCG10_Dec,38.85,NDCG10,Dec,0.8:0.2
58,0.7,0.3,NDCG10_Dec,41.58,NDCG10,Dec,0.7:0.3
59,0.6,0.4,NDCG10_Dec,44.34,NDCG10,Dec,0.6:0.4
60,0.5,0.5,NDCG10_Dec,46.06,NDCG10,Dec,0.5:0.5
61,0.4,0.6,NDCG10_Dec,47.36,NDCG10,Dec,0.4:0.6
62,0.3,0.7,NDCG10_Dec,47.63,NDCG10,Dec,0.3:0.7
63,0.2,0.8,NDCG10_Dec,48.54,NDCG10,Dec,0.2:0.8
64,0.1,0.9,NDCG10_Dec,47.44,NDCG10,Dec,0.1:0.9
65,0.0,1.0,NDCG10_Dec,46.75,NDCG10,Dec,0.0:1.0
